Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Himawan I.; Wang R.; Sridharan S.; Fookes C.,"Himawan, Ivan (23967723700); Wang, Ruizhe (58017930400); Sridharan, Sridha (7102172665); Fookes, Clinton (7003338437)",23967723700; 58017930400; 7102172665; 7003338437,Jointly Trained Conversion Model With LPCNet for Any-to-One Voice Conversion Using Speaker-Independent Linguistic Features,2022,IEEE Access,10,,,134029,134037,8,1,10.1109/ACCESS.2022.3226350,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144044189&doi=10.1109%2fACCESS.2022.3226350&partnerID=40&md5=55593968e8c4524ff06840768f65e8e8,"We propose a joint training scheme of an any-to-one voice conversion (VC) system with LPCNet to improve the speech naturalness, speaker similarity, and intelligibility of the converted speech. Recent advancements in neural-based vocoders, such as LPCNet, have enabled the production of more natural and clear speech. However, other components in typical VC systems are often designed independently, such as the conversion model. Hence, separate training strategies are used for each component that is not in direct correlation to the training objective of the vocoder preventing exploitation of the full potential of LPCNet. This problem is addressed by proposing a jointly trained conversion model and LPCNet. To accurately capture the linguistic contents of the given utterance, we use speaker-independent (SI) features derived from an automatic speech recognition (ASR) model trained using a mixed-language speech corpus. Subsequently, a conversion model maps the SI features to the acoustic representations used as input features to LPCNet. The possibility to synthesize cross-language speech using the proposed approach is also explored in this paper. Experimental results show that the proposed model can achieve real-time VC, unlocking the full potential of LPCNet and outperforming the state of the art.  © 2013 IEEE.",Automatic speech recognition; conversion model; joint training; neural vocoder; voice conversion,Linguistics; Speech communication; Speech intelligibility; Speech processing; Speech recognition; Automatic speech recognition; Conversion model; Conversion systems; Joint training; Linguistic features; Natural speech; Neural vocod; Speaker independents; Training schemes; Voice conversion; Vocoders,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85144044189
Carofilis A.; Fernandez-Robles L.; Alegre E.; Fidalgo E.,"Carofilis, Andres (58498987200); Fernandez-Robles, Laura (36918096900); Alegre, Enrique (55901820900); Fidalgo, Eduardo (36092799000)",58498987200; 36918096900; 55901820900; 36092799000,MeWEHV: Mel and Wave Embeddings for Human Voice Tasks,2023,IEEE Access,11,,,80089,80104,15,1,10.1109/ACCESS.2023.3300973,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166743802&doi=10.1109%2fACCESS.2023.3300973&partnerID=40&md5=30d7283ccd4aea749912b4ddb12a9b58,"A recent trend in speech processing is the use of embeddings created through machine learning models trained on a specific task with large datasets. By leveraging the knowledge already acquired, these models can be reused in new tasks where the amount of available data is small. This paper proposes a pipeline to create a new model, called Mel and Wave Embeddings for Human Voice Tasks (MeWEHV), capable of generating robust embeddings for speech processing. MeWEHV combines the embeddings generated by a pre-trained raw audio waveform encoder model, and deep features extracted from Mel Frequency Cepstral Coefficients (MFCCs) using Convolutional Neural Networks (CNNs). We evaluate the performance of MeWEHV on three tasks: speaker, language, and accent identification. For the first one, we use the VoxCeleb1, and VBHIR datasets and present YouSpeakers204, a new and publicly available dataset for English speaker identification that contains 19607 audio clips from 204 persons speaking in six different accents, allowing other researchers to work with a very balanced dataset, and to create new models that are robust to multiple accents. For evaluating the language identification task, we use the VoxForge, Common Language, and the LRE17 datasets. Finally, for accent identification, we use the Latin American Spanish Corpora (LASC), Common Voice, and the NISP datasets. Our approach allows a significant increase in the performance of state-of-the-art embedding generation models on all the tested datasets, with a low additional computational cost.  © 2013 IEEE.",Embeddings; HuBERT; speech classification; WavLM; XLSR-Wav2Vec2; YouSpeakers204,Classification (of information); Computer architecture; Job analysis; Knowledge management; Learning systems; Neural networks; Speech processing; Adaptation models; Computational modelling; Embeddings; Features extraction; HuBERT; Human voice; Machine-learning; Speech classification; Task analysis; Transfer learning; WavLM; XLSR-wav2vec2; Youspeakers204; Speech recognition,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85166743802
Ye J.-X.; Wen X.-C.; Wang X.-Z.; Xu Y.; Luo Y.; Wu C.-L.; Chen L.-Y.; Liu K.-H.,"Ye, Jia-Xin (57485104000); Wen, Xin-Cheng (57226098194); Wang, Xuan-Ze (57549853600); Xu, Yong (57188828963); Luo, Yan (57717020800); Wu, Chang-Li (57549853700); Chen, Li-Yan (35730725600); Liu, Kun-Hong (34973260300)",57485104000; 57226098194; 57549853600; 57188828963; 57717020800; 57549853700; 35730725600; 34973260300,GM-TCNet: Gated Multi-scale Temporal Convolutional Network using Emotion Causality for Speech Emotion Recognition,2022,Speech Communication,145,,,21,35,14,37,10.1016/j.specom.2022.07.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139868003&doi=10.1016%2fj.specom.2022.07.005&partnerID=40&md5=b2270e7d89c6f48640652e7a40dc0e53,"In human-computer interaction, Speech Emotion Recognition (SER) plays an essential role in understanding the user's intent and improving the interactive experience. While similar sentimental speeches own diverse speaker characteristics but share common antecedents and consequences, an essential challenge for SER is how to produce robust and discriminative representations through causality between speech emotions. In this paper, we propose a Gated Multi-scale Temporal Convolutional Network (GM-TCNet) to construct a novel emotional causality repre- sentation learning component with a multi-scale receptive field. GM-TCNet deploys a novel emotional causality representation learning component to capture the dynamics of emotion across the time domain, constructed with dilated causal convolutions layer and gating mechanism. Besides, it utilizes skip connection fusing high-level fea- tures from different Gated Convolution Blocks (GCB) to capture abundant and subtle emotion changes in human speech. GM-TCNet first uses a single type of feature, Mel-Frequency Cepstral Coefficients (MFCC), as inputs and then passes them through the Gated Temporal Convolutional Module (GTCM) to generate the high-level fea- tures. Finally, the features are fed to the emotion classifier to accomplish the SER task. The experimental results show that our model maintains the highest performance in most cases, with +0.90% to +18.50% and +0.55% to +20.15% average relative improvement on the weighted average recall and unweighted average recall compared to state-of-the-art techniques. The source code is available at: https://github.com/Jiaxin-Ye/GM-TCNet for SER. © 2022",Emotion Causality; Gating Mechanism; Multi-Scale; Speech Emotion Recognition; Temporal Convolution Network,Emotion Recognition; Human computer interaction; Speech recognition; Time domain analysis; Convolutional networks; Emotion causality; Gating mechanisms; Multi-scales; Receptive fields; Speaker characteristics; Speech emotion recognition; Speech emotions; Temporal convolution network; Time domain; Convolution,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85139868003
Iizuka T.; Mori H.,"Iizuka, Takahisa (57702600300); Mori, Hiroki (57214629379)",57702600300; 57214629379,How Does a Spontaneously Speaking Conversational Agent Affect User Behavior?,2022,IEEE Access,10,,,111042,111051,9,5,10.1109/ACCESS.2022.3214977,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140883832&doi=10.1109%2fACCESS.2022.3214977&partnerID=40&md5=6fa79e83cd5c4223784d9eb40d4f088d,"People treat conversational agents as mere tools and not as human-like social actors. While there has been much research on human-like agents, few studies have approached the realization of a conversational agent as a social actor from the viewpoint of speech synthesis. This study investigated the effect of synthetic voice of conversational agent trained with spontaneous speech on human interactants. Specifically, we hypothesized that humans will exhibit more social responses when interacting with conversational agent that has a synthetic voice built on spontaneous speech. Typically, speech synthesizers are built on a speech corpus where voice professionals read a set of written sentences. The synthesized speech is clear as if a newscaster were reading the news or a voice actor were playing an anime character. However, this is quite different from spontaneous speech we speak in everyday conversation. Recent advances in speech synthesis enabled us to build a speech synthesizer on a spontaneous speech corpus, and to obtain a near-conversational synthesized speech with reasonable quality. By making use of these technologies, we examined whether humans produce more social responses to a spontaneously speaking conversational agent. We conducted a large-scale conversation experiment with a conversational agent whose utterances were synthesized with the model trained either with spontaneous speech or read speech. The result showed that the subjects who interacted with the agent whose utterances were synthesized from spontaneous speech tended to show shorter response time and a larger number of backchannels. The result of a questionnaire showed that subjects who interacted with the agent whose utterances were synthesized from spontaneous speech tended to rate their conversation with the agent as closer to a human conversation. These results suggest that speech synthesis built on spontaneous speech is essential to realize a conversational agent as a social actor.  © 2013 IEEE.","Conversational agents; humanâÂ€Â""computer interaction; spontaneous speech synthesis",Behavioral research; Human computer interaction; Speech recognition; Conversational agents; Human like; Social actors; Speech synthesizer; Spontaneous speech; Spontaneous speech synthesis; Synthesised; Synthesized speech; Synthetic voices; User behaviors; Speech synthesis,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85140883832
Kim S.; Kim M.,"Kim, Sunwoo (57209886467); Kim, Minje (13204925700)",57209886467; 13204925700,"Boosted Locality Sensitive Hashing: Discriminative, Efficient, and Scalable Binary Codes for Source Separation",2022,IEEE/ACM Transactions on Audio Speech and Language Processing,30,,,2659,2672,13,1,10.1109/TASLP.2022.3196877,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135755271&doi=10.1109%2fTASLP.2022.3196877&partnerID=40&md5=9b3dc331673bebb5b385e6df051d17a2,"We propose a novel adaptive boosting approach to learn discriminative binary hash codes, boosted locality sensitive hashing (BLSH), that can represent audio spectra efficiently. We aim to use the learned hash codes in the single-channel speech denoising task by designing a nearest neighborhood search method that operates in the hashed feature space. To achieve the optimal denoising results given the highly compact binary feature representation, our proposed BLSH algorithm learns simple logistic regressors as the weak learners in an incremental way (i.e., one by one) so that each weak learner is trained to complement the mistake its predecessors have made. Upon testing, their binary classification results transform each spectrum of noisy speech into a bit string, where the bits are ordered based on their significance, adding scalability to the denoising system. Simple bitwise operations calculate Hamming distance to find the \boldsymbol{K}-nearest matching hashed frames in the dictionary of training noisy speech spectra, whose associated ideal binary masks are averaged to estimate the denoising mask for that test mixture. In contrast to the locality sensitive hashing method's random projections, our proposed supervised learning algorithm trains the projections such that the distance between the self-similarity matrix of the hash codes and that of the original spectra is minimized. Likewise, the process conceptually aligns to the Adaboost algorithm, although ours is specialized in learning binary features for source separation rather than classification. Experimental results on speech denoising suggest that the BLSH algorithm learns more discriminative representations than Fourier or mel spectra and the nonlinear kernels derived from them. Our compact binary representation is expected to facilitate model deployment onto resource-constrained environments, where comprehensive models (e.g., deep neural networks) are unaffordable.  © 2014 IEEE.",AdaBoost; Kernel Methods; Locality Sensitive Hashing; Speech Enhancement,Adaptive boosting; Audio signal processing; Codes (symbols); Deep neural networks; Hamming distance; Noise abatement; Optimization; Separation; Source separation; Speech recognition; Binary features; Code; De-noising; Hashing algorithms; Kernel-methods; Learn+; Locality sensitive hashing; Simple++; Spectra's; Speech denoising; Speech enhancement,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85135755271
Chen Y.-W.; Wang H.-M.; Tsao Y.,"Chen, Yu-Wen (57222274025); Wang, Hsin-Min (8297293300); Tsao, Yu (13608047100)",57222274025; 8297293300; 13608047100,BASPRO: A Balanced Script Producer for Speech Corpus Collection Based on the Genetic Algorithm,2023,APSIPA Transactions on Signal and Information Processing,12,3,e15,,,,0,10.1561/116.00000155,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159203841&doi=10.1561%2f116.00000155&partnerID=40&md5=3efcd37e4c5c41b4db8e1bf631795ed1,"performance of speech-processing models is heavily influenced by the speech corpus that is used for training and evaluation. In this study, we propose BAlanced Script PROducer (BASPRO) system, which can automatically construct a phonetically balanced and rich set of Chinese sentences for collecting Mandarin Chinese speech data. First, we used pretrained natural language processing systems to extract ten-character candidate sentences from a large corpus of Chinese news texts. Then, we applied a genetic algorithm-based method to select 20 phonetically balanced sentence sets, each containing 20 sentences, from the candidate sentences. Using BASPRO, we obtained a recording script called TMNews, which contains 400 ten-character sentences. TMNews covers 84% of the syllables used in the real world. Moreover, the syllable distribution has 0.96 cosine similarity to the real-world syllable distribution. We converted the script into a speech corpus using two text-to-speech systems. Using the designed speech corpus, we tested the performances of speech enhancement (SE) and automatic speech recognition (ASR), which are one of the most important regression- and classification-based speech processing tasks, respectively. The experimental results show that the SE and ASR models trained on the designed speech corpus outperform their counterparts trained on a randomly composed speech corpus. © 2023 Cambridge University Press. All rights reserved.",Corpus design; genetic algorithm; Mandarin Chinese speech corpus; phonetically balanced and rich corpus; recording script design,Audio recordings; Natural language processing systems; Speech enhancement; Speech recognition; Chinese speech; Corpus design; Mandarin Chinese; Mandarin chinese speech corpus; Performance; Phonetically balanced; Phonetically balanced and rich corpus; Real-world; Recording script design; Speech corpora; Genetic algorithms,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85159203841
Ferrer L.; Castan D.; Mclaren M.; Lawson A.,"Ferrer, Luciana (7006111690); Castan, Diego (55350758700); Mclaren, Mitchell (25646483500); Lawson, Aaron (34969412300)",7006111690; 55350758700; 25646483500; 34969412300,A Discriminative Hierarchical PLDA-Based Model for Spoken Language Recognition,2022,IEEE/ACM Transactions on Audio Speech and Language Processing,30,,,2396,2410,14,4,10.1109/TASLP.2022.3190736,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135576715&doi=10.1109%2fTASLP.2022.3190736&partnerID=40&md5=aaa36c27cfb79b5a2f3be6c3a1329954,"Spoken language recognition (SLR) refers to the automatic process used to determine the language present in a speech sample. SLR is an important task in its own right, for example, as a tool to analyze or categorize large amounts of multi-lingual data. Further, it is also an essential tool for selecting downstream applications in a work flow, for example, to chose appropriate speech recognition or machine translation models. SLR systems are usually composed of two stages, one where an embedding representing the audio sample is extracted and a second one which computes the final scores for each language. In this work, we approach the SLR task as a detection problem and implement the second stage as a probabilistic linear discriminant analysis (PLDA) model. We show that discriminative training of the PLDA parameters gives large gains with respect to the usual generative training. Further, we propose a novel hierarchical approach where two PLDA models are trained, one to generate scores for clusters of highly-related languages and a second one to generate scores conditional to each cluster. The final language detection scores are computed as a combination of these two sets of scores. The complete model is trained discriminatively to optimize a cross-entropy objective. We show that this hierarchical approach consistently outperforms the non-hierarchical one for detection of highly related languages, in many cases by large margins. We train our systems on a collection of datasets including over 100 languages, and test them both on matched and mismatched conditions, showing that the gains are robust to condition mismatch.  © 2014 IEEE.",discriminative training; probabilistic linear discriminant analysis; Spoken language recognition,Audio systems; Discriminant analysis; Discriminant analysis model; Discriminative training; Downstream applications; Hierarchical approach; Large amounts; Machine translation models; Probabilistic linear discriminant analysis; Recognition systems; Spoken language recognition; Work-flows; Speech recognition,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85135576715
Ambili A.R.; Roy R.C.,"Ambili, A.R. (57200418604); Roy, Rajesh Cherian (36940156400)",57200418604; 36940156400,The Effect of Synthetic Voice Data Augmentation on Spoken Language Identification on Indian Languages,2023,IEEE Access,11,,,102391,102407,16,6,10.1109/ACCESS.2023.3316142,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173030860&doi=10.1109%2fACCESS.2023.3316142&partnerID=40&md5=3378ad9eb37133e162902f52b2438a43,"Multilingual based voice activated human computer interaction systems are currently in high demand. The Spoken Language Identification Unit (SPLID) is an inevitable front end unit of such a multilingual system. These systems will be a great boon to a country like India where around 24 official languages are spoken. Deep learning architectures for spoken language identification have progressed to the point that they can now perform well, even in the presence of various background noises. However, a strong phonetic relationship across various Indian languages leads to increased confusion in the SPLID unit. Therefore, the goal of this study is to propose a synthetic voice data augmentation method based on speech synthesis to improve the spoken Indian language identification system. Here the research attempts to determine how well pre-trained computer vision models recognize spoken languages in synthetic and classical audio augmentation environments. The accuracy of the models was compared using bottleneck features extracted from three different pre-trained models VGG16, RESNET50, and Inception-v3 while using an Artificial Neural Network (ANN), Support Vector Machine (SVM), Logistic Regression (LR), Random Forest (RF), Naive Bayes (NB), Decision Tree (DT) and KNN (K-Nearest Neighbors) as classifiers. The proposed system was tested on three Indian language datasets - two comprising seven Indian languages (Hindi, Malayalam, Tamil, Telugu, Marathi, Kannada and Bengali), one containing five Indian languages (Tamil, Hindi, Malayalam, Oria and Assamese), and on a foreign language dataset. It was found that the addition of synthetic audio samples improved the accuracy by 17%. Among the pre-trained models, VGG16 and Inception-v3 combined with PCA and ANN were found to have the maximum accuracy of 97%.  © 2013 IEEE.",Classifiers; data augmentation; inception-v3; RESNET50; speech synthesis; SPLID; VGG16,Classification (of information); Decision trees; Deep learning; Human computer interaction; Natural language processing systems; Nearest neighbor search; Neural networks; Speech recognition; Speech synthesis; Support vector machines; Classification algorithm; Computational modelling; Data augmentation; Inception-v3; Language identification; Neural-networks; Principal-component analysis; Residual neural network; RESNET50; Spoken language identification unit; Spoken languages; Support vectors machine; VGG16; Principal component analysis,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85173030860
Aggarwal S.; Vasukidevi G.; Selvakanmani S.; Pant B.; Kaur K.; Verma A.; Binegde G.N.,"Aggarwal, Shruti (57201487047); Vasukidevi, G. (57222657121); Selvakanmani, S. (56156565700); Pant, Bhaskar (35316278700); Kaur, Kiranjeet (57542481600); Verma, Amit (57304749700); Binegde, Geleta Negasa (58026126200)",57201487047; 57222657121; 56156565700; 35316278700; 57542481600; 57304749700; 58026126200,Audio Segmentation Techniques and Applications Based on Deep Learning,2022,Scientific Programming,2022,,7994191,,,,8,10.1155/2022/7994191,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144493279&doi=10.1155%2f2022%2f7994191&partnerID=40&md5=231780439a6c2155777f6972130a1227,"Audio processing has become an inseparable part of modern applications in domains ranging from health care to speech-controlled devices. In automated audio segmentation, deep learning plays a vital role. In this article, we are discussing audio segmentation based on deep learning. Audio segmentation divides the digital audio signal into a sequence of segments or frames and then classifies these into various classes such as speech recognition, music, or noise. Segmentation plays an important role in audio signal processing. The most important aspect is to secure a large amount of high-quality data when training a deep learning network. In this study, various application areas, citation records, documents published year-wise, and source-wise analysis are computed using Scopus and Web of Science (WoS) databases. The analysis presented in this paper supports and establishes the significance of the deep learning techniques in audio segmentation. Copyright © 2022 Shruti Aggarwal et al. This is an open access article distributed under the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original work is properly cited.",,Audio acoustics; Audio signal processing; Deep learning; Learning systems; Music; Application area; Audio processing; Audio segmentation; Digital audio signals; High quality data; Large amounts; Learning network; Modern applications; Segmentation techniques; Web of Science; Speech recognition,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85144493279
Park H.-Y.; Lee Y.H.; Chun C.,"Park, Hwa-Young (58764609000); Lee, Young Han (57203798688); Chun, Chanjun (36026528300)",58764609000; 57203798688; 36026528300,Perturbation AUTOVC: Voice Conversion From Perturbation and Autoencoder Loss,2023,IEEE Access,11,,,140174,140185,11,1,10.1109/ACCESS.2023.3341434,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179782544&doi=10.1109%2fACCESS.2023.3341434&partnerID=40&md5=b4fb007a9898b10141b864cd2a5deb91,"AUTOVC is a voice-conversion method that performs self-reconstruction using an autoencoder structure for zero-shot voice conversion. AUTOVC has the advantage of being easy and simple to learn because it only uses the autoencoder loss for learning. However, it performs voice conversion by disentangling speech information from speakers and linguistic information by adjusting the bottleneck dimension; this requires highly meticulous fine tuning of the bottleneck dimension and involves a tradeoff between speech quality and speaker similarity. To address these issues, neural analysis and synthesis (NANSY) - a fully self-supervised learning system that uses perturbations to extract speech features - is proposed. NANSY solves the problem of the adjustment of the bottleneck dimension by utilizing perturbation and exhibits high-reconstruction performance. In this study, we propose perturbation AUTOVC, a voice conversion method that utilizes the structure of AUTOVC and the perturbation of NANSY. The proposed method applies perturbations to speech signals (such as NANSY signals) to solve the problem of the voice conversion method using bottleneck dimensions. Perturbation is applied to remove the speaker-dependent information present in the speech, leaving only the linguistic information, which is then passed through a content encoder and modeled as a content embedding containing only the linguistic information. To obtain speaker information, we used x-vectors, which are extensively used in pretrained speaker recognition. The concatenated linguistic and speaker information extracted from the encoder and additional energy information is used as input to the decoder to perform self-reconstruction. Similar to AUTOVC, it is easy and simple to learn using only the autoencoder loss. For the evaluation, we measured three objective evaluation metrics: character error rate (%), cosine similarity, and short-time objective intelligibility, as well as a subjective evaluation metric: mean opinion score. The experimental results demonstrate that our proposed method outperforms other voice conversion techniques and demonstrated robust performance in zero-shot conversion.  © 2013 IEEE.",Autoencoder; information perturbation; speech signal processing; voice conversion,Audio signal processing; Learning systems; Linguistics; Perturbation techniques; Signal encoding; Speech communication; Speech intelligibility; Speech recognition; Analysis and synthesis; Auto encoders; Conversion methods; Features extraction; Information perturbation; Linguistic information; Perturbation method; Speaker recognition; Speech signal processing; Voice conversion; Data mining,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85179782544
Mahum R.; Irtaza A.; Javed A.,"Mahum, Rabbia (57224467375); Irtaza, Aun (54882450900); Javed, Ali (57190125008)",57224467375; 54882450900; 57190125008,EDL-Det: A Robust TTS Synthesis Detector Using VGG19-Based YAMNet and Ensemble Learning Block,2023,IEEE Access,11,,,134701,134716,15,11,10.1109/ACCESS.2023.3332561,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177061259&doi=10.1109%2fACCESS.2023.3332561&partnerID=40&md5=53dbd872d661031c6577a7bfe78b9a38,"Various audio deep fake synthesis algorithms exist, such as deep voice, tacotron, fastspeech, and imitation techniques. Despite the existence of various spoofing speech detectors, they are not ready to distinguish unseen audio samples with high precision. In this study, we suggest a robust model, namely an Ensemble Deep Learning Detector (EDL-Det), to detect text-to-speech (TTS) and categorize it into spoofed and bonafide classes. Our proposed model is an improved method based on Yet Another Multi-scale Convolutional Neural Network (YAMNet) employing VGG19 as a base network combined with two other deep learning(DL) techniques. Our proposed system effectively analyzes the audio to extract better artifacts. We have added an ensemble learning block that consists of ResNet50 and InceptionNetv2. First, we convert speech into mel-spectrograms that consist of time-frequency representations. Second, we train our model using the ASVspoof-2019 dataset. Ultimately, we classified the audios, transforming them into mel-spectrograms using our trained binary classifier and a majority voting scheme by three networks. Due to ensemble architecture, our proposed model effectively extracts the most representative features from the mel-spectrograms. Furthermore, we have performed extensive experiments to assess the performance of the suggested model using the ASVspoof 2019 corpus. Additionally, our proposed model is robust enough to identify the unseen spoofed audios and accurately classify the attacks based on cloning algorithms.  © 2013 IEEE.",Deep learning; DeepFake audios; fake speech; mel-spectrograms; text-to-speech detection; VGG19,Character recognition; Cloning; Convolution; Deep learning; Electronic mail; Hidden Markov models; Network architecture; Neural networks; Spectrographs; Speech recognition; Text messaging; Convolutional neural network; Deep learning; Deepfake; Deepfake audio; Electronic messaging; Fake speech; Features extraction; Hidden-Markov models; Mel-spectrogram; Spectrograms; Speech detection; Text analysis; Text to speech; Text-to-speech detection; VGG19; Feature extraction,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85177061259
Mukhamadiyev A.; Khujayarov I.; Djuraev O.; Cho J.,"Mukhamadiyev, Abdinabi (57209690294); Khujayarov, Ilyos (57215926099); Djuraev, Oybek (36650571500); Cho, Jinsoo (55474141500)",57209690294; 57215926099; 36650571500; 55474141500,Automatic Speech Recognition Method Based on Deep Learning Approaches for Uzbek Language,2022,Sensors,22,10,3683,,,,52,10.3390/s22103683,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130092279&doi=10.3390%2fs22103683&partnerID=40&md5=aea2ecc4c55f1b7fc3b57ac15b0e8f9e,"Communication has been an important aspect of human life, civilization, and globalization for thousands of years. Biometric analysis, education, security, healthcare, and smart cities are only a few examples of speech recognition applications. Most studies have mainly concentrated on English, Spanish, Japanese, or Chinese, disregarding other low-resource languages, such as Uzbek, leaving their analysis open. In this paper, we propose an End-To-End Deep Neural Network-Hidden Markov Model speech recognition model and a hybrid Connectionist Temporal Classification (CTC)-attention network for the Uzbek language and its dialects. The proposed approach reduces training time and improves speech recognition accuracy by effectively using CTC objective function in attention model training. We evaluated the linguistic and lay-native speaker performances on the Uzbek language dataset, which was collected as a part of this study. Experimental results show that the proposed model achieved a word error rate of 14.3% using 207 h of recordings as an Uzbek language training dataset. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",convolutional neural network; CTC-attention; deep learning; end-to-end speech recognition; hidden Markov model; transformers; Uzbek language,Deep Learning; Humans; Language; Linguistics; Speech; Speech Perception; Classification (of information); Convolutional neural networks; Deep neural networks; Speech; Speech recognition; Automatic speech recognition; Connectionist temporal classification-attention; Convolutional neural network; Deep learning; End to end; End-to-end speech recognition; Hidden-Markov models; Temporal classification; Transformer; Uzbek language; human; language; linguistics; speech; speech perception; Hidden Markov models,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85130092279
Novitasari S.; Sakti S.; Nakamura S.,"Novitasari, Sashi (57205401384); Sakti, Sakriani (12807978200); Nakamura, Satoshi (55628545896)",57205401384; 12807978200; 55628545896,A Machine Speech Chain Approach for Dynamically Adaptive Lombard TTS in Static and Dynamic Noise Environments,2022,IEEE/ACM Transactions on Audio Speech and Language Processing,30,,,2673,2688,15,8,10.1109/TASLP.2022.3196879,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135766291&doi=10.1109%2fTASLP.2022.3196879&partnerID=40&md5=fb3d90192b72f379071fdd2a14a47a0f,"Recent end-to-end text-to-speech synthesis (TTS) systems have successfully synthesized high-quality speech. However, TTS speech intelligibility degrades in noisy environments because most of these systems were not designed to handle noisy environments. Several works attempted to address this problem by using offline fine-tuning to adapt their TTS to noisy conditions. Unlike machines, humans never perform offline fine-tuning. Instead, they speak with the Lombard effect in noisy places, where they dynamically adjust their vocal effort to improve the audibility of their speech. This ability is supported by the speech chain mechanism, which involves auditory feedback passing from speech perception to speech production. This paper proposes an alternative approach to TTS in noisy environments that is closer to the human Lombard effect. Specifically, we implement Lombard TTS in a machine speech chain framework to synthesize speech with dynamic adaptation. Our TTS performs adaptation by generating speech utterances based on the auditory feedback that consists of the automatic speech recognition (ASR) loss as the speech intelligibility measure and the speech-to-noise ratio (SNR) prediction as power measurement. Two versions of TTS are investigated: non-incremental TTS with utterance-level feedback and incremental TTS (ITTS) with short-term feedback to reduce the delay without significant performance loss. Furthermore, we evaluate the TTS systems in both static and dynamic noise conditions. Our experimental results show that auditory feedback enhanced the TTS speech intelligibility in noise.  © 2014 IEEE.",dynamic adaptation; Lombard effect; machine speech chain inference; Text-to-speech,Chains; Hidden Markov models; Mechanisms; Speech enhancement; Speech intelligibility; Speech recognition; Speech synthesis; Tuning; Auditory feedback; Dynamic adaptations; Hidden-Markov models; Lombard effects; Machine speech chain inference; Noise measurements; Noisy environment; Static noise; Statics and dynamics; Text to speech; Signal to noise ratio,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85135766291
Serai P.; Sunder V.; Fosler-Lussier E.,"Serai, Prashant (57209884266); Sunder, Vishal (57208495885); Fosler-Lussier, Eric (8578109100)",57209884266; 57208495885; 8578109100,Hallucination of Speech Recognition Errors with Sequence to Sequence Learning,2022,IEEE/ACM Transactions on Audio Speech and Language Processing,30,,,890,900,10,15,10.1109/TASLP.2022.3145313,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123786822&doi=10.1109%2fTASLP.2022.3145313&partnerID=40&md5=dcef09f284698b261449e49368c83fe8,"Prior work in this domain has focused on modeling errors at the phonetic level, while using a lexicon to convert the phones to words, usually accompanied by an FST Language model. We present novel end-to-end models to directly predict hallucinated ASR word sequence outputs, conditioning on an input word sequence as well as a corresponding phoneme sequence. This improves prior published results for recall of errors from an in-domain ASR system's transcription of unseen data, as well as an out-of-domain ASR system's transcriptions of audio from an unrelated task, while additionally exploring an in-between scenario when limited characterization data from the test ASR system is obtainable. To verify the extrinsic validity of the method, we also use our hallucinated ASR errors to augment training for a spoken question classifier, finding that they enable robustness to real ASR errors in a downstream task, when scarce or even zero task-specific audio was available at train-time.  © 2014 IEEE.",Error prediction; Hallucinated asr errors; Low resource; Sequence to sequence neural networks; Speech recognition,Character recognition; Errors; Job analysis; Modeling languages; Neural networks; Speech; Automatic speech recognition; Context models; Error prediction; Hallucinated automatic speech recognition error; Low resource; Neural-networks; Predictive models; Recognition error; Sequence to sequence neural network; Task analysis; Text recognition; Speech recognition,Article,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85123786822
