"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"mmWave-Whisper: Phone Call Eavesdropping and Transcription Using Millimeter-Wave Radar","S. Basak; A. Padarthi; M. Gowda","Computer Science and Engineering, Pennsylvania State University State College, PA, USA; Computer Science and Engineering, Pennsylvania State University State College, PA, USA; Computer Science and Engineering, Pennsylvania State University State College, PA, USA","ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","7 Mar 2025","2025","","","1","5","This paper introduces mmWave-Whisper, a system that demonstrates the feasibility of full-corpus automated speech recognition (ASR) on phone calls eavesdropped remotely using off-the-shelf frequency modulated continuous wave (FMCW) millimeter-wave radars. Operating in the 77-81 GHz range, mmWave-Whisper captures earpiece vibrations from smart-phones, converts them into audio, and processes the audio to produce speech transcriptions automatically. Unlike previous work that focused on loudspeakers or a limited vocabulary, this is the first to perform this kind of speech recognition by handling a large vocabulary and full sentences on earpiece vibrations from smartphones. This approach expands the potential for radar-audio eavesdropping. mmWave-Whisper addresses challenges such as the lack of large-scale training datasets, low SNR, and limited frequency information in radar data through a systematic data pipeline designed to leverage synthetic training data, domain adaptation, and inference by incorporating OpenAI’s Whisper automatic speech recognition model. The system achieves a word accuracy rate of 44.74% and a character accuracy rate of 62.52% over a range of 25 cm to 125 cm. The paper highlights emerging misuse modalities of AI as the technology evolves rapidly.","2379-190X","979-8-3503-6874-1","10.1109/ICASSP49660.2025.10890670","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10890670","side channel attacks;mmWave radars;speech privacy;speech recognition","Vibrations;Training;Vocabulary;Accuracy;Systematics;Training data;Millimeter wave radar;Millimeter wave communication;Speech processing;Eavesdropping","","","","24","IEEE","7 Mar 2025","","","IEEE","IEEE Conferences"
"Mixed Precision Low-Bit Quantization of Neural Network Language Models for Speech Recognition","J. Xu; J. Yu; S. Hu; X. Liu; H. Meng","Chinese University of Hong Kong, Hong Kong, China; Chinese University of Hong Kong, Hong Kong, China; Chinese University of Hong Kong, Hong Kong, China; Chinese University of Hong Kong, Hong Kong, China; Chinese University of Hong Kong, Hong Kong, China","IEEE/ACM Transactions on Audio, Speech, and Language Processing","10 Dec 2021","2021","29","","3679","3693","State-of-the-art language models (LMs) represented by long-short term memory recurrent neural networks (LSTM-RNNs) and Transformers are becoming increasingly complex and expensive for practical applications. Low-bit neural network quantization provides a powerful solution to dramatically reduce their model size. Current quantization methods are based on uniform precision and fail to account for the varying performance sensitivity at different parts of LMs to quantization errors. To this end, novel mixed precision neural network LM quantization methods are proposed in this paper. The optimal local precision choices for LSTM-RNN and Transformer based neural LMs are automatically learned using three techniques. The first two approaches are based on quantization sensitivity metrics in the form of either the KL-divergence measured between full precision and quantized LMs, or Hessian trace weighted quantization perturbation that can be approximated efficiently using matrix free techniques. The third approach is based on mixed precision neural architecture search. In order to overcome the difficulty in using gradient descent methods to directly estimate discrete quantized weights, alternating direction methods of multipliers (ADMM) are used to efficiently train quantized LMs. Experiments were conducted on state-of-the-art LF-MMI CNN-TDNN systems featuring speed perturbation, i-Vector and learning hidden unit contribution (LHUC) based speaker adaptation on two tasks: Switchboard telephone speech and AMI meeting transcription. The proposed mixed precision quantization techniques achieved “lossless” quantization on both tasks, by producing model size compression ratios of up to approximately 16 times over the full precision LSTM and Transformer baseline LMs, while incurring no statistically significant word error rate increase.","2329-9304","","10.1109/TASLP.2021.3129357","Hong Kong Research Grants Council GRF(grant numbers:14200218,14200220,14200021); Innovation and Technology Fund(grant numbers:ITS/254/19); Shun Hing Institute of Advanced Engineering(grant numbers:MMT-p1-19); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9622190","Language models;speech recognition;LSTM-RNN;transformer;low-bit quantization;ADMM","Quantization (signal);Transformers;Recurrent neural networks;Speech recognition;Long short term memory","","7","","52","IEEE","19 Nov 2021","","","IEEE","IEEE Journals"
"AVIBRIEF: Automated Vocal Information Briefings Dataset","A. Johnson; V. Venkataraman; E. Reinholz","Cirrus Design Corporation, Duluth, MN, United States; Cirrus Design Corporation, Duluth, MN, United States; North Dakota State University, Fargo, ND, United States",2023 IEEE/AIAA 42nd Digital Avionics Systems Conference (DASC),"10 Nov 2023","2023","","","1","10","Automated briefings are an essential information source for pilots as they provide a comprehensive and up-to-date picture of meteorological and aeronautical conditions, ensuring safe and efficient flight operations. These briefings come in a variety of formats, a notable few being Automated Terminal Information Service (ATIS), Automated Surface/Weather Observation System (ASOS/AWOS). These systems provide an audio broadcast of the current weather, runway surface conditions, and other pertinent information to pilots without them having to reference the air traffic control tower or ground observers. While most aircraft are equipped with VHF radios for receiving information through audio transmissions, it poses challenges as pilots must accurately interpret the audio and manually execute necessary actions. Though digital data transmissions are the ideal solution to improve accuracy and allow automation, most airplanes lack the necessary equipment for this. As a result, general aviation (GA) will continue to rely on audio transmissions for the foreseeable future. However, recent advances in speech recognition and natural language processing can bridge this gap by converting analog audio information into digital data, thus enabling automation. These advanced technologies rely on vast amounts of data, particularly human-verified transcriptions, to be effective in aviation applications. To facilitate research in this area, we propose and publicly release an automated informational briefings voice dataset (AVIBRIEF) for Automatic Speech Recognition (ASR) and Natural Language Processing (NLP) research purposes.","2155-7209","979-8-3503-3357-2","10.1109/DASC58513.2023.10311162","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10311162","Automatic speech recognition;Aviation speech;Weather briefing;Named entity recognition;ATIS;AWOS;ASOS","Bridges;Automation;Poles and towers;Information services;Observers;Natural language processing;Air traffic control","","","","29","IEEE","10 Nov 2023","","","IEEE","IEEE Conferences"
"Investigating End-to-End ASR Architectures for Long Form Audio Transcription","N. R. Koluguri; S. Kriman; G. Zelenfroind; S. Majumdar; D. Rekesh; V. Noroozi; J. Balam; B. Ginsburg",NA; NA; NA; NA; NA; NA; NA; NA,"ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","18 Mar 2024","2024","","","13366","13370","This paper presents an overview and evaluation of some of the end-to-end ASR models on long-form audio. We study three categories of Automatic Speech Recognition(ASR) models based on their core architecture: (1) convolutional, (2) convolutional with squeeze-and-excitation, and (3) convolutional models with attention. We selected one ASR model from each category and evaluated the Word Error Rate, maximum audio length and real-time factor for each model on a variety of long audio benchmarks: Earnings-21 and 22, CORAAL, and TED-LIUM3. The model from the category of self-attention with local attention and global token has the best accuracy compared to other architectures. We also compared models with CTC and RNNT decoders and showed that CTC-based models are more robust and efficient than RNNT on long form audio.","2379-190X","979-8-3503-4485-1","10.1109/ICASSP48485.2024.10448309","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10448309","Automatic Speech Recognition (ASR);Long-form Audio;Earnings-21;CORAAL;TED-LIUM","Convolution;Error analysis;Computational modeling;Computer architecture;Robustness;Real-time systems;Decoding","","1","","26","IEEE","18 Mar 2024","","","IEEE","IEEE Conferences"
"Increasing Context for Estimating Confidence Scores in Automatic Speech Recognition","A. Ragni; M. J. F. Gales; O. Rose; K. M. Knill; A. Kastanos; Q. Li; P. M. Ness","Department of Engineering, University of Cambridge, Cambridge, U.K.; Department of Engineering, University of Cambridge, Cambridge, U.K.; Department of Engineering, University of Cambridge, Cambridge, U.K.; Department of Engineering, University of Cambridge, Cambridge, U.K.; Department of Engineering, University of Cambridge, Cambridge, U.K.; Department of Engineering, University of Cambridge, Cambridge, U.K.; Department of Engineering, University of Cambridge, Cambridge, U.K.","IEEE/ACM Transactions on Audio, Speech, and Language Processing","6 Apr 2022","2022","30","","1319","1329","Accurate confidence measures for predictions from machine learning techniques play a critical role in the deployment and training of many speech and language processing applications. For example, confidence scores are important when making use of automatically generated transcriptions in training automatic speech recognition (ASR) systems, as well as down-stream applications, such as information retrieval and conversational assistants. Previous work on improving confidence scores for these systems has focused on two main directions: designing features correlated with improved confidence prediction; and employing sequence models to account for the importance of contextual information. Few studies, however, have explored incorporating contextual information more broadly, such as from the future, in addition to the past, or making use of alternative multiple hypotheses in addition to the most likely one. This article introduces two general approaches for encapsulating contextual information from lattices. Experimental results illustrating the importance of increasing contextual information for estimating confidence scores are presented on a range of limited resource languages where word error rates range between 30% and 60%. The results show that the novel approaches provide significant gains in the accuracy of confidence estimation.","2329-9304","","10.1109/TASLP.2022.3161153","ALTA Institute; University of Cambridge; Office of the Director of National Intelligence; Intelligence Advanced Research Projects Activity; Air Force Research Laboratory(grant numbers:FA8650-17-C-9117); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9739834","Attention;confidence;graph structures;recurrent neural network;speech recognition","Lattices;Hidden Markov models;Speech processing;Estimation;History;Feature extraction;Stability criteria","","2","","74","IEEE","22 Mar 2022","","","IEEE","IEEE Journals"
"Multi-modal Streaming ASR in Cross-talk Scenario for Smart Glasses","Y. Jiang; H. Lan; Q. Wang; S. Niu","NERC-SLIP, University of Science and Technology of China (USTC), Hefei, China; NERC-SLIP, University of Science and Technology of China (USTC), Hefei, China; NERC-SLIP, University of Science and Technology of China (USTC), Hefei, China; NERC-SLIP, University of Science and Technology of China (USTC), Hefei, China","ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","7 Mar 2025","2025","","","1","5","In the MMCSG task of the CHiME-8 Challenge, achieving real-time speaker-attributed transcriptions with limited multi-modal data presents significant challenges. To cope with the problem, we propose a novel ASR framework that leverages both audio-only and multi-modal inputs in a streaming fashion. For the audio-only modality, analyzing and emulating the characteristics of real audio, we utilize a multi-channel simulation to generate the augmented dataset, which efficiently reduces the model training deviation between real and simulated data. Additionally, we integrate the IMU data with audio data in the network structure, demonstrating that the functional filtered and encoded IMU data can assist audio information in achieving better real-time speech recognition performance with ablation experiments. Notably, our explorations based on the above schemes not only secured first place in the MMCSG sub-track but also represented the first investigation into the effectiveness of leveraging IMU data for this task.","2379-190X","979-8-3503-6874-1","10.1109/ICASSP49660.2025.10889243","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10889243","streaming ASR;multi-modal data;IMU data;cross-talk;smart glasses;MMCSG;CHiME","Training;Transducers;Noise;Speech recognition;Information filters;Real-time systems;Data models;Encoding;Speech processing;Smart glasses","","","","37","IEEE","7 Mar 2025","","","IEEE","IEEE Conferences"
"Automation-Driven Dataset Preparation for Continuous Czech Sign Language Recognition","J. Snajder; J. Krejsa","Institute of Solid Mechanics, Mechatronics and Biomechanics, Brno University of Technology, Brno, Czech Republic; Institute of Solid Mechanics, Mechatronics and Biomechanics, Brno University of Technology, Brno, Czech Republic",2024 21st International Conference on Mechatronics - Mechatronika (ME),"17 Dec 2024","2024","","","1","5","This paper presents an automation-driven solution for preparing a continuous Czech Sign Language dataset, addressing the lack of resources in this area. Manual processing of daily sign language news recordings would be extremely time-consuming, as the videos vary in quality, use different overlays, and have no captions. To streamline this process, we use the Structural Similarity Index Measure (SSIM) to compare key frames and extract relevant parts of the recording, such as weather forecast segments. Automatic speech recognition (ASR) then processes the accompanying audio and generates textual transcriptions of the spoken content. The outcome is the highly automated preparation pipeline and the dataset containing 4699 annotated videos of weather forecast news in Czech Sign Language providing a foundation for future research in sign language recognition.","","979-8-3503-9490-0","10.1109/ME61309.2024.10789742","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10789742","sign language;continuous;dataset;recognition;translation","Sign language;Vocabulary;Mechatronics;Pipelines;Weather forecasting;Manuals;Natural language processing;Recording;Videos;Automatic speech recognition","","","","11","IEEE","17 Dec 2024","","","IEEE","IEEE Conferences"
"Crossmodal ASR Error Correction With Discrete Speech Units","Y. Li; P. Chen; P. Bell; C. Lai","University of Edinburgh, UK; University of Edinburgh, UK; University of Edinburgh, UK; University of Edinburgh, UK",2024 IEEE Spoken Language Technology Workshop (SLT),"16 Jan 2025","2024","","","431","438","ASR remains unsatisfactory in scenarios where the speaking style diverges from that used to train ASR systems, resulting in erroneous transcripts. To address this, ASR Error Correction (AEC), a post-ASR processing approach, is required. In this work, we tackle an understudied issue: the Low-Resource Out-of-Domain (LROOD) problem, by investigating crossmodal AEC on very limited downstream data with 1-best hypothesis transcription. We explore pretraining and fine-tuning strategies and uncover an ASR domain discrepancy phenomenon, shedding light on appropriate training schemes for LROOD data. Moreover, we propose the incorporation of discrete speech units to align with and enhance the word embeddings for improving AEC quality. Results from multiple corpora and several evaluation metrics demonstrate the feasibility and efficacy of our proposed AEC approach on LROOD data as well as its generalizability and superiority on large-scale data. Finally, a study on speech emotion recognition confirms that our model produces ASR error-robust transcripts suitable for downstream applications.","","979-8-3503-9225-8","10.1109/SLT61566.2024.10832240","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10832240","ASR Error Correction;Discrete Speech Units;Low-Resource Speech;Out-of-Domain Data","Training;Measurement;Emotion recognition;Conferences;Speech recognition;Speech enhancement;Error correction","","2","","38","IEEE","16 Jan 2025","","","IEEE","IEEE Conferences"
"Efficient Architecture Integrating Wav2Vec 2.0 and Transformer Decoding for Low-Resource Environments","K. Narayanasamy; S. K. L; S. D; M. Maragatharajan","Department of Computer Science, J.J. College of Arts and Science (Autonomous), Affiliated to Bharathidasan University, Tiruchirappalli; School of Computing Science and Engineering (SCOPE), VIT Bhopal University, Sehore, Madhya Pradesh, India; School of Computing Science and Engineering (SCOPE), VIT Bhopal University, Sehore, Madhya Pradesh, India; School of Computing Science and Engineering (SCOPE), VIT Bhopal University, Sehore, Madhya Pradesh, India",2025 International Conference on Electronics and Renewable Systems (ICEARS),"2 Apr 2025","2025","","","105","108","This article introduces a cutting-edge Automatic Speech Recognition (ASR) architecture that combines a Transformer-based decoder optimised with weak supervision with Wav2Vec 2.0 for self-supervised feature extraction. By using high-level representations of raw audio and optimising with poorly tagged data, the architecture overcomes the difficulties posed by a lack of annotated datasets. Improved transcription accuracy is demonstrated by the model's notable decrease in Word Error Rate (WER), which goes from 15.6% with baseline RNN models to 7.2%. Furthermore, the system's computational efficiency is demonstrated by the 25% reduction in training time. The outcomes demonstrate that the suggested framework is a reliable option for ASR tasks in low-resource environments, attaining a fair compromise between computational cost, data needs, and performance.","","979-8-3315-0967-5","10.1109/ICEARS64219.2025.10940870","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10940870","Automatic Speech Recognition (ASR);Wav2Vec 2.0;Transformer-based decoder;Weak supervision;Computational efficiency","Training;Weak supervision;Error analysis;Computational modeling;Computer architecture;Transformers;Feature extraction;Decoding;Computational efficiency;Automatic speech recognition","","","","13","IEEE","2 Apr 2025","","","IEEE","IEEE Conferences"
"Advanced Long-Content Speech Recognition With Factorized Neural Transducer","X. Gong; Y. Wu; J. Li; S. Liu; R. Zhao; X. Chen; Y. Qian","Auditory Cognition and Computational Acoustics Lab, the Department of Computer Science and Engineering and the MoE Key Laboratory of Artificial Intelligence, AI Institute, Shanghai Jiao Tong University, Shanghai, China; Microsoft Corporation, Beijing, China; Microsoft Corporation, Beijing, China; Microsoft Corporation, Beijing, China; Microsoft Corporation, Beijing, China; Auditory Cognition and Computational Acoustics Lab, the Department of Computer Science and Engineering and the MoE Key Laboratory of Artificial Intelligence, AI Institute, Shanghai Jiao Tong University, Shanghai, China; Auditory Cognition and Computational Acoustics Lab, the Department of Computer Science and Engineering and the MoE Key Laboratory of Artificial Intelligence, AI Institute, Shanghai Jiao Tong University, Shanghai, China","IEEE/ACM Transactions on Audio, Speech, and Language Processing","14 Mar 2024","2024","32","","1803","1815","Long-content automatic speech recognition (ASR) has obtained increasing interest in recent years, as it captures the relationship among consecutive historical utterances while decoding the current utterance. In this paper, we propose two novel approaches, which integrate long-content information into the factorized neural transducer (FNT) based architecture in both non-streaming (referred to as LongFNT) and streaming (referred to as SLongFNT) scenarios. We first investigate whether long-content transcriptions can improve the vanilla conformer transducer (C-T) models. Our experiments indicate that the vanilla C-T models do not exhibit improved performance when utilizing long-content transcriptions, possibly due to the predictor network of C-T models not functioning as a pure language model. Instead, FNT shows its potential in utilizing long-content information, where we propose the LongFNT model and explore the impact of long-content information in both text (LongFNT-Text) and speech (LongFNT-Speech). The proposed LongFNT-Text and LongFNT-Speech models further complement each other to achieve better performance, with transcription history proving more valuable to the model. The effectiveness of our LongFNT approach is evaluated on LibriSpeech and GigaSpeech corpora, and obtains relative 19% and 12% word error rate reduction, respectively. Furthermore, we extend the LongFNT model to the streaming scenario, which is named SLongFNT, consisting of SLongFNT-Text and SLongFNT-Speech approaches to utilize long-content text and speech information. Experiments show that the proposed SLongFNT model achieves relative 26% and 17% WER reduction on LibriSpeech and GigaSpeech respectively while keeping a good latency, compared to the FNT baseline. Overall, our proposed LongFNT and SLongFNT highlight the significance of considering long-content speech and transcription knowledge for improving both non-streaming and streaming speech recognition systems.","2329-9304","","10.1109/TASLP.2024.3350893","China NSFC Projects(grant numbers:62122050,62071288); Shanghai Municipal Science and Technology Commission Project(grant numbers:2021SHZDZX0102); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10398434","Factorized neural transducer;long-content speech recognition;RNN-T;streaming and non-streaming","Transducers;Predictive models;Vocabulary;Computer architecture;Acoustics;Context modeling;Transformers","","4","","61","IEEE","12 Jan 2024","","","IEEE","IEEE Journals"
"Algorithms To Increase Data Reliability In Video Transcription","F. M. Nazarov; Y. S. S. o’g’li; E. B. S. o’g’li","Samarkand State University, Samarkand, Uzbekistan; Samarkand State University, Samarkand, Uzbekistan; Samarkand State University, Samarkand, Uzbekistan",2022 IEEE 16th International Conference on Application of Information and Communication Technologies (AICT),"16 Jan 2023","2022","","","1","6","Currently, the transmission of data in the form of video and audio on computer networks is growing rapidly. Increasing the flow of media data makes it the task of qualitative data processing and analysis. The growth of video data is one of the most pressing issues in the intellectual analysis of the content of this video data and transcription to extract the texts contained in the video files. In the process of video transcription, the process of transferring the data in the video file to the text without errors is followed. The process of video transcription is important for the intellectual analysis of data in hearing-impaired and large- scale video networks. To date, a lot of research has been done on video transcription. Nevertheless, shortcomings in transcription remain sufficient for arbitrary language. This research includes theoretical research on the study of algorithms and models of video transcription, as well as a theoretical analysis of experiments based on them.","2472-8586","978-1-6654-5162-8","10.1109/AICT55583.2022.10013558","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10013558","Transcription;video transcription;phonetic transcription;intellectual transcription;Hidden Markov Model;Gaussian Mixture Model;K-Means Clustering Algorithm","Analytical models;Machine learning algorithms;Pressing;Reliability theory;Media;Markov processes;Data processing","","1","","14","IEEE","16 Jan 2023","","","IEEE","IEEE Conferences"
"Named Entity Recognition for Audio De-Identification","G. Baril; P. Cardinal; A. L. Koerich","Department of Software and IT Engineering, École de Technologie Supérieure, Université du Québec, Montréal, Canada; Department of Software and IT Engineering, École de Technologie Supérieure, Université du Québec, Montréal, Canada; Department of Software and IT Engineering, École de Technologie Supérieure, Université du Québec, Montréal, Canada",2022 International Joint Conference on Neural Networks (IJCNN),"30 Sep 2022","2022","","","1","8","Data anonymization is often a task carried out by humans. Automating it would reduce the cost and time required to complete this task. This paper presents a pipeline to automate the anonymization of audio data in French. We propose a pipeline, which takes audio files with their transcriptions and removes the named entities (NEs) present in the audio. Our pipeline is made up of a forced aligner, which aligns words in an audio transcript with speech and a model that performs named entity recognition (NER). Then, the audio segments that correspond to NEs are substituted with silence to anonymize audio. We compared forced aligners and NER models to find the best ones for our scenario. We evaluated our pipeline on a small hand-annotated dataset, achieving an F1 score of 0.769. This result shows that automating this task is feasible.","2161-4407","978-1-7281-8671-9","10.1109/IJCNN55064.2022.9892285","MITACS; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9892285","Spoken language understanding;Automatic speech recognition;Audio de-identification;Audio redaction","Training;Data privacy;Pipelines;Neural networks;Speech recognition;Syntactics;Transformers","","4","","40","IEEE","30 Sep 2022","","","IEEE","IEEE Conferences"
"Multimodal Speaker Recognition: Combining FFT, CNN, Speech-to-Text, BERT-Based Punctuation Restoration and Sentence Correction","K. P. Sai; K. Ajay; M. Ramesh","Department of Information Technology, Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada, Andhra Pradesh, India; Department of Information Technology, Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada, Andhra Pradesh, India; Department of Information Technology, Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada, Andhra Pradesh, India","2023 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems (ICSES)","19 Mar 2024","2023","","","1","7","In this paper, we look at technological solutions to problems with speech recognition, text-to-speech conversion, sentence correction, and punctuation restoration. Convolutional neural networks (CNNs) for model development, the Fast Fourier transform (FFT) for feature extraction from data, and the potent Bidirectional Encoder Representations from Transformers (BERT) model for context-aware sentence correction are all included into our methodology. Our study intends to enhance the precision, context sensitivity, and usability of language processing systems by merging CNNs, FFT, and BERT. By providing excellent transcription and precise sentence correction, this holistic approach pushes the limits of audio-based applications.","","979-8-3503-1920-0","10.1109/ICSES60034.2023.10465391","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10465391","Speaker Recognition;Speech-to-Text Conversion;Convolutional Neural Networks (CNNs);Fast Fourier Transform (FFT);Bidirectional Encoder Representations from Transformers (BERT);Sentence Correction;Punctuation Restoration","Neural networks;Bidirectional control;Speech recognition;Transformers;Feature extraction;Encoding;Data models","","","","16","IEEE","19 Mar 2024","","","IEEE","IEEE Conferences"
"DENOASR: Debiasing ASRs through Selective Denoising","A. K. Rai; S. D. Jaiswal; S. Prakash; B. P. Sree; A. Mukherjee","IIT Kharagpur, India; IIT Kharagpur, India; IIT Kharagpur, India; IIT Kharagpur, India; IIT Kharagpur, India",2024 IEEE International Conference on Knowledge Graph (ICKG),"19 Feb 2025","2024","","","283","290","Automatic Speech Recognition (ASR) systems have been examined and shown to exhibit biases toward particular groups of individuals, influenced by factors such as demographic traits, accents, and speech styles. Noise can disproportionately impact speakers with certain accents, dialects, or speaking styles, leading to biased error rates. In this work we introduce a novel framework ${\mathcal{D}}{\mathcal{E}}{\mathcal{N}}{\mathcal{O}}{\mathcal{A}}{\mathcal{S}}{\mathcal{R}}$ which is a selective denoising technique to reduce the disparity in the word error rates between the two gender groups male and female. We find that a combination of two popular speech denoising techniques viz. DEmucs and Le can be effectively used to mitigate ASR disparity without compromising their overall performance. Experiments using two SOTA open-source ASRs - OpenAI Whisper and NVIDIA Nemo on multiple benchmark datasets - TIE, Vox-Populi, TedLium and Fleurs show that there is a promising reduction in the average word error rate gap across the two gender groups. For a given dataset, the denoising is selectively applied on speech samples having speech intelligibility below a certain threshold estimated using a small validation sample thus ameliorating the need for large-scale human written ground-truth transcripts. Our findings suggest that selective denoising can be an elegant approach to mitigate biases in present-day ASR systems.","","979-8-3315-0882-1","10.1109/ICKG63256.2024.00043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10884312","debiasing;selective denoising;ASR;word error rate","Deep learning;Accuracy;Error analysis;Noise reduction;Noise;Knowledge graphs;Benchmark testing;Robustness;Real-time systems;Automatic speech recognition","","","","65","IEEE","19 Feb 2025","","","IEEE","IEEE Conferences"
"A Survey on Spoken Italian Datasets and Corpora","M. Giordano; C. Rinaldi","Department of Information Engineering, Computer Science and Mathematics (DISIM), Università degli Studi dell’Aquila, L’Aquila, Italy; National Inter-University Consortium for Telecommunications (CNIT), Parma, Italy",IEEE Access,"18 Feb 2025","2025","13","","29190","29205","Spoken Italian datasets are curated collections of audio recordings featuring native Italian speech in various contexts (e.g., spontaneous dialogues, read text, telephone conversations), often accompanied by transcriptions or linguistic annotations. They serve as foundational resources for a wide range of applications, including Automatic Speech Recognition (ASR), Text-To-Speech (TTS) synthesis, emotion detection, and broader linguistic research. Despite Italian’s status as a richly diverse Romance language—marked by significant dialectal variation—publicly available large-scale corpora have remained comparatively underrepresented when contrasted with those of major world languages such as English or Mandarin. In this survey, we present a comprehensive examination of 66 spoken Italian datasets, highlighting their key characteristics, data collection methodologies, and annotation frameworks. We categorize the datasets by speech type (e.g., conversational, monologic, spontaneous), by source (e.g., broadcast media, telephone calls, field recordings), and by demographic or linguistic attributes (including dialects and sociolinguistic features). Our analysis uncovers critical issues around dataset scarcity, demographic underrepresentation, and restricted accessibility, limiting broader research and development efforts. To address these gaps, we propose best practices and future directions—such as expanding demographic coverage, promoting open-access models, and standardizing annotation protocols—to enrich Italian speech data resources. The complete dataset inventory is publicly available on GitHub and archived on Zenodo, offering researchers and developers a valuable reference. By highlighting both the achievements and the shortcomings in existing resources, this work ultimately aims to foster collaboration and to spur further advancements in Italian speech technologies and linguistic research.","2169-3536","","10.1109/ACCESS.2025.3538952","European Union (EU) under Italian National Recovery and Resilience Plan (NRRP) of NextGenerationEU, Partnership on “Telecommunications of the Future” (Program “RESTART”)(grant numbers:PE00000001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10872911","Spoken Italian datasets;speech technology;natural language processing (NLP);dataset annotation;computational linguistics;deep learning models","Linguistics;Recording;Surveys;Speech recognition;Training;Telephone sets;Oral communication;Media;Digital audio broadcasting;Cultural differences","","","","83","CCBY","4 Feb 2025","","","IEEE","IEEE Journals"
"Pronunciation Dictionary-Free Multilingual Speech Synthesis Using Learned Phonetic Representations","C. Liu; Z. -H. Ling; L. -H. Chen","National Engineering Research Center of Speech and Language Information Processing, University of Science and Technology of China, Hefei, China; National Engineering Research Center of Speech and Language Information Processing, University of Science and Technology of China, Hefei, China; iFLYTEK Research, iFLYTEK Company Ltd., Hefei, China","IEEE/ACM Transactions on Audio, Speech, and Language Processing","23 Oct 2023","2023","31","","3706","3716","This article presents a multilingual speech synthesis approach that leverages learned phonetic representations to eliminate the need for pronunciation dictionaries in target languages. The learned phonetic representations consist of unsupervised phonetic representations (UPR) and supervised phonetic representations (SPR). To extract UPRs, a pre-trained wav2vec 2.0 model is utilized, while a language-independent automatic speech recognition (LI-ASR) model with a connectionist temporal classification (CTC) loss is employed to derive segment-level SPRs from the speech data of target languages. An acoustic model using UPRs and SPRs as intermediate representations is then designed, comprising a UPR predictor, an SPR predictor, and a representation-to-mel-spectrogram (RTM) converter. The two predictors generate UPRs and SPRs from texts, respectively. The RTM converter first combines UPRs with SPRs using a Transformer-based encoder, and then feeds the merged representations into a decoder to produce mel-spectrograms. Considering the difficulty of collecting large training corpora for all languages in multilingual speech synthesis, the parameters of both the two predictors and the RTM converter can be pre-trained on non-target languages to further improve model performance. Experimental results on six target languages demonstrate that our method outperformed the approaches directly predicting mel-spectrograms from character or phoneme sequences, and pre-training the acoustic model using a multilingual corpus further improved the performance of synthetic speech.","2329-9304","","10.1109/TASLP.2023.3313424","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10244053","Speech synthesis;multilingual;wav2vec 2.0;phonetic representations","Phonetics;Speech synthesis;Acoustics;Feature extraction;Training;Spectrogram;Dictionaries","","3","","50","IEEE","8 Sep 2023","","","IEEE","IEEE Journals"
